Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
29-08-2023,16:35,29-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-9.92,EUR,57.13,
29-08-2023,07:35,28-08-2023,LOGISTA INTEGRAL SA,ES0105027009,Dividendo,,EUR,12.25,EUR,67.05,
29-08-2023,07:35,28-08-2023,LOGISTA INTEGRAL SA,ES0105027009,Retención del dividendo,,EUR,-2.33,EUR,54.80,
17-08-2023,16:50,17-08-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 41,92 EUR",,,,EUR,57.13,
17-08-2023,16:50,17-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-41.92,EUR,15.21,
17-08-2023,04:55,15-08-2023,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Dividendo,,EUR,36.47,EUR,57.13,
17-08-2023,04:55,15-08-2023,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Retención del dividendo,,EUR,-6.93,EUR,20.66,
17-08-2023,04:55,15-08-2023,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Dividendo,,EUR,15.28,EUR,27.59,
17-08-2023,04:55,15-08-2023,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Retención del dividendo,,EUR,-2.90,EUR,12.31,
10-07-2023,17:34,10-07-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 11,06 EUR",,,,EUR,15.21,
10-07-2023,17:34,10-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-11.06,EUR,4.15,
07-07-2023,09:04,06-07-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709N7,DESLISTAMIENTO : Venta 175 SACYR SA-RIGHTS - Non tradeable@0 EUR (ES06828709N7),,EUR,0.00,EUR,15.21,
07-07-2023,08:22,06-07-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709N7,Dividendo,,EUR,13.65,EUR,15.21,
07-07-2023,08:22,06-07-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709N7,Retención del dividendo,,EUR,-2.59,EUR,1.56,
02-07-2023,23:22,30-06-2023,,,Flatex Interest Income,,EUR,0.00,EUR,4.15,
27-06-2023,14:27,26-06-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709N7,DIVIDENDO FLEXIBLE: Compra 175 SACYR SA-RIGHTS - Non tradeable@0 EUR (ES06828709N7),,EUR,0.00,EUR,4.15,
